chunk,StateName,Crop,DistrictName,Year,Month,Day,Category,QueryType,Season,Sector
how to control flower drop in bottelgourd spray planofix4mlpump,Madhya Pradesh,1275,Sagar,2006,1,17,0,99,Rabi,Horticulture
how to control fruit borer in brinjal should be spray profenophos 35mlpump,Madhya Pradesh,1279,Sagar,2006,1,17,0,76,Rabi,Horticulture
how to control of yellow moisac in moong should be spray metasystox 35mlpump,Madhya Pradesh,1064,Sagar,2006,1,17,0,3,Rabi,Agriculture
how to control white fly in brinjal should be spray metasystox 35mlpump,Madhya Pradesh,1279,Damoh,2006,1,17,0,76,Rabi,Horticulture
how to control termite in wheat use chlorpyrephos1lithactwith the help of irrigation,Madhya Pradesh,Wheat,Damoh,2006,1,17,0,3,Rabi,Agriculture
how to control chilli thrips sprey cypermethrin15 mlpump,Madhya Pradesh,Chillies,Jabalpur,2006,1,17,0,76,Rabi,Horticulture
how to increase milk in buffalo use gylox 20 gm twice a day,Madhya Pradesh,964,Jabalpur,2006,1,17,0,Dairy Production,Rabi,Animal Husbandry
how to control sucking pest in bottle gourd shhould be spray metasystox 35mlpump,Madhya Pradesh,1275,Jabalpur,2006,1,17,0,76,Rabi,Horticulture
what is the control of the semilooper in the soybean apply the qunalphos 300 ml per acre,Madhya Pradesh,Soybean Bhat,Jabalpur,2006,8,6,0,3,Nan,Agriculture
how to control becterial blight in tomato should be spray mancozeb 35mlpump,Madhya Pradesh,2108,Mandla,2006,1,17,0,76,Rabi,Horticulture
what is the control of the pest in sugarcane spray of the quinalfos 10 granule 10-15 kgha,Madhya Pradesh,Sunnhemp Patua,Mandla,2006,1,17,0,3,Nan,Agriculture
what is the control of the bihar hairy caterpillar chlorpyriphos 20 ec 15 lithaor trizophos 40 ec 08 lithaor quinolphos 25 ec 15 lithaor methomyl 40 sp 100ghaor ethion 50 ec 15 litha or ethofenprox 10 ec 1 litha,Madhya Pradesh,Sunflower Suryamukhi,Mandla,2006,1,17,0,3,Nan,Agriculture
what are control of cow pea mosaic spray trizophose 30 ml pump,Madhya Pradesh,1818,Mandla,2006,1,17,0,3,Rabi,Agriculture
what is the control of the tobacco caterpillar deltarnathrin 28 ec 750 mlhaor quinolphos 25 ec 1000mlhaor ethofenprox 10 ec 1000mlha in case of severe infestation apply polytrin 44 1 litha or profenophos 50 ec 200 litha always use hollow cone noozle for spraying dust endosulfan 4 or quinalphos 15 25kgha when their population is likely to reach 10m row length etl repeat it as eeded,Madhya Pradesh,Saffron,Mandla,2006,1,17,0,3,Nan,Agriculture
what is the control of the insect in coriander quinolphos 25 ec 1000mlhaor ethofenprox 10 ec 1000mlha in case of severe infestation apply polytrin 44 1 litha or profenophos 50 ec 200 litha always use hollow cone noozle for spraying dust endosulfan 4 or quinalphos 15 25kgha when their population is likely to reach 10m row length etl repeat it as eeded,Madhya Pradesh,Coriander,Mandla,2006,1,17,0,3,Nan,Agriculture
what is the important varieties of the cabbage for the madhya pradesh pusa mukta pride of india ganga kaveri and yamuna are the important varieties of the cabbage for the madhya pradesh,Madhya Pradesh,Cabbage,Mandla,2006,1,17,0,78,Nan,Horticulture
what is the control of the semilooper in the soybean apply the qunalphose 300 ml per acre,Madhya Pradesh,Soybean Bhat,Mandla,2006,8,6,0,3,Nan,Agriculture
how to control yellow moisac in moong should be spray metasystox 35mlpump,Madhya Pradesh,1064,Hoshangabad,2006,1,17,0,3,Rabi,Agriculture
how to control white fly in brinjal should be spray metasystox 35mlpump,Madhya Pradesh,1279,Hoshangabad,2006,1,17,0,76,Rabi,Horticulture
how to control shoot and fruit borer in brinjal should be spray cyper methrin 30-35mlpump,Madhya Pradesh,1279,Hoshangabad,2006,1,17,0,76,Rabi,Horticulture
how to contro yellow moisac in moong should be spray metasystox 35mlpump,Madhya Pradesh,1064,Hoshangabad,2006,1,17,0,3,Rabi,Agriculture
how to control powdery mildew in bottle gourd should be spray wetable sulfar 16mlpump,Madhya Pradesh,1275,Hoshangabad,2006,1,17,0,75,Rabi,Horticulture
how to control weed in field should be spray glyphoset 15litreha,Madhya Pradesh,Others,Hoshangabad,2006,1,17,0,22,Rabi,Agriculture
what are control of cauliflower yellow leaf spray trizophose 40 ml pump,Madhya Pradesh,1289,Narsimpur,2006,1,17,0,75,Jayad,Horticulture
how to control powdery mildew in bottle gourd should be spray wetable sulphar 16mlpump,Madhya Pradesh,1275,Narsimpur,2006,1,17,0,75,Rabi,Horticulture
how to control sucking pest in moong should be spray metasystox 35mlpump,Madhya Pradesh,1279,Narsimpur,2006,1,17,0,76,Rabi,Horticulture
what is the control of the termites application of chlorpyriphos or carbofuran granules into the soil before sowing or seed treatment with chlorpyriphos 4mlkg of seed or endosulfan 7mlkg of seed spray insecticides like polytrin c44ec at the rate of 1000 mlha,Madhya Pradesh,Indian Rapeseed And Mustard Yellow Sarson,Narsimpur,2006,1,17,0,3,Nan,Agriculture
how to copntrol caterpillar in aonla applied endosulfan drop by injection in plant,Madhya Pradesh,Aonla,East Nimar,2006,1,17,0,76,Rabi,Horticulture
how to controlsucking pest in moong should be spray metasystox 35mlpump,Madhya Pradesh,1064,East Nimar,2006,1,17,0,3,Rabi,Agriculture
how to contol of altenariya leasf spot in cotton should be appply spray mancozeb 35mlpump,Madhya Pradesh,Cotton Kapas,East Nimar,2006,1,17,0,2,Jayad,Agriculture
how to control stem borer in paddy should be spray chloropyriphos 15kgha with irrigation water,Madhya Pradesh,1137,Balaghat,2006,1,17,0,3,Rabi,Agriculture
